OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,full_address,Latitude,Longitude
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,"I-70 & ST-285, EXIT 186, Lore City                               , OH",39.9847938,-81.4584523
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,"I-985, EXIT 20 & SR-60, Gainesville, GA",29.6519684,-82.3249846
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,"US-45 ALT, West Point, MS",41.3951027,-73.9550092
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,"US-30, Wanatah, IN",41.4305964,-86.898358
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,"I-80, EXIT 73, Peru, IL",-6.8699697,-75.0458515
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,"I-80, EXIT 73, Peru, IL",-6.8699697,-75.0458515
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,"I-80, EXIT 73, Peru, IL",-6.8699697,-75.0458515
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,"I-80, EXIT 73, Peru, IL",-6.8699697,-75.0458515
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,"I-40, EXIT 142, Maumelle, AR",34.856613,-92.4056858
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,"I-80/I-94, EXIT 6, Gary, IN",41.6020962,-87.3370646
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,"I-10 & I-8, EXIT 203, Eloy, AZ",32.7551703,-111.553493
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,"I-69, EXIT 309A, Fort Wayne                              , IN",41.0799898,-85.1386015
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879,"I-69, EXIT 309A, Fort Wayne                              , IN",41.0799898,-85.1386015
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,"I-10, EXIT 76, Egan, LA",43.999138,-96.648937
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,"I-84, EXIT 17, Troutdale, OR",45.5392862,-122.3873133
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,"I-80, EXIT 104 & US-191, Rock Springs, WY",41.5860557,-109.2194544
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,"I-82, EXIT 80, Prosser, WA",46.2067583,-119.76916
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,"I-82, EXIT 80, Prosser, WA",46.2067583,-119.76916
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,"I-20/I-59, EXIT 77, Cottondale, AL",30.7971363,-85.3765965
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,"I-70, EXIT 58 & SR-23, Concordia, MO",31.3941887,-91.6714379
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,"I-80, EXIT 59 & SR-17J, Sidney, NE",-33.8698439,151.2082848
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,"I-89/SR-120, EXIT 18 & SR-120, Lebanon, NH",33.8750629,35.843409
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,"I-84, EXIT 5, Montgomery, NY",32.3777111,-86.3090775
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,"I-90,  EXIT 218, Geneva, OH",46.2017559,6.1466014
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962,"TCH-16, Edmonton, AB",53.5462055,-113.491241
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375,"TCH-16, Edmonton, AB",53.5462055,-113.491241
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023,"TCH-16, Edmonton, AB",53.5462055,-113.491241
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048,"TCH-16, Edmonton, AB",53.5462055,-113.491241
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401,"TCH-16, Edmonton, AB",53.5462055,-113.491241
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947,"TCH-16, Edmonton, AB",53.5462055,-113.491241
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,"I-5, EXIT 233 E, Albany, OR",42.6511674,-73.754968
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,"I-40, EXIT 126 & US-641, Holladay, TN",40.6710765,-111.8250278
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,"I-40 & I-75, EXIT 374, Knoxville, TN",35.9603948,-83.9210261
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962,"HWY 2 SOUTH, Nanton, AB",46.6198085,4.8154436
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483,"HWY 2 SOUTH, Nanton, AB",46.6198085,4.8154436
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784,"HWY 2 SOUTH, Nanton, AB",46.6198085,4.8154436
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996,"HWY 2 SOUTH, Nanton, AB",46.6198085,4.8154436
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111,"HWY 2 SOUTH, Nanton, AB",46.6198085,4.8154436
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851,"HWY 2 SOUTH, Nanton, AB",46.6198085,4.8154436
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,"I-10,  EXIT 4, Canutillo, TX",31.9124684,-106.598098
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,"I-295/US-130,EXIT 22, Thorofare, NJ",39.8539265,-75.1982182
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,"I-29, EXIT 207 & US-12, Summit, SD",41.1457902,-81.5333603
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,"I-86/SR-17, EXIT 16, Randolph, NY",38.0472916,-89.8107962
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,"I-235, EXIT 4, Wichita, KS",37.6922361,-97.3375448
692,BP,US-63,Ottumwa,IA,489,3.399,"US-63, Ottumwa, IA",41.0195659,-92.4116886
739,Arco #364420,US-23,Greenup,KY,255,3.649,"US-23, Greenup, KY",38.5108112,-82.9180186
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,"US-85, Evans, CO",32.1613648,-81.8980725
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,"US-61/US-136, Alexandria, MO",44.8349534,8.7450304
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,"US-18/SR-151, EXIT 58, Barneveld, WI",52.1715067,5.6454392
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,"US-41 & SR-137, North Chicago, IL",42.327724,-87.8394189
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,"US-41 & SR-137, North Chicago, IL",42.327724,-87.8394189
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,"US-41 & SR-137, North Chicago, IL",42.327724,-87.8394189
